time_s,position_m,velocity_mps,velocity_kmh,acceleration_mps2,motor_rpm,torque_left_nm,torque_right_nm,tractive_force_n,rolling_resistance_n,aero_drag_n,grade_force_n,net_force_n,battery_power_kw,mechanical_power_kw,power_limited
1.425,7.247951769142375,10.03911656587036,36.1408196371333,6.676060152486489,1841.1081533328224,51.0306904761905,51.0306904761905,1764.0722653570754,35.156840249999995,133.33704866280453,0.0,1595.5783764442708,21.86386062041811,19.6774745583763,0.0
1.43,7.298230802723633,10.072496866632793,36.26098871987806,6.672343952294135,1847.229881623472,51.0306904761905,51.0306904761905,1764.0722653570754,35.156840249999995,134.2252205087772,0.0,1594.6902045982981,21.93655847570735,19.742902628136616,0.0
1.435,7.3486766913562,10.105858586394264,36.38109091101935,6.668617495061709,1853.3482022803778,51.0306904761905,51.0306904761905,1764.0722653570754,35.156840249999995,135.11584378732684,0.0,1593.7995813197485,22.009215864047878,19.80829427764309,0.0
1.44,7.39928934200686,10.139201673869573,36.50112602593047,6.664880807134886,1859.4631058981702,51.0306904761905,51.0306904761905,1764.0722653570754,35.156840249999995,136.0089122018376,0.0,1592.9065129052378,22.081832673747343,19.87364940637261,0.0
1.445,7.450068661386297,10.172526077905248,36.62109388045889,6.66113391490872,1865.5745830956382,51.0306904761905,51.0306904761905,1764.0722653570754,35.156840249999995,136.90441944389127,0.0,1592.011005663184,22.154408793400293,19.938967914060264,0.0
1.45,7.501014555949759,10.205831747479792,36.740994290927254,6.657376844827272,1871.6826245157733,51.0306904761905,51.0306904761905,1764.0722653570754,35.156840249999995,137.80235919335726,0.0,1591.1130659137182,22.226944111888685,20.004249700699816,0.0
1.455,7.552126931897718,10.239118631703928,36.86082707413414,6.6536096233832325,1877.7872208258161,51.0306904761905,51.0306904761905,1764.0722653570754,35.156840249999995,138.70272511848293,0.0,1590.2126999885925,22.29943851838245,20.069494666544205,0.0
1.46,7.60340569517653,10.272386679820844,36.98059204735504,6.64983227711754,1883.8883627173,51.0306904761905,51.0306904761905,1764.0722653570754,35.156840249999995,139.6055108759834,0.0,1589.309914231092,22.37189190234,20.134702712106,0.0
1.465,7.654850751479098,10.305635841206431,37.100289028343155,6.64604483261901,1889.9860409060957,51.0306904761905,51.0306904761905,1764.0722653570754,35.156840249999995,140.510710111132,0.0,1588.4047149959433,22.44430415350876,20.199873738157887,0.0
1.47,7.7064620062455385,10.338866065369526,37.21991783533029,6.642247316523954,1896.0802461324545,51.0306904761905,51.0306904761905,1764.0722653570754,35.156840249999995,141.41831645785035,0.0,1587.497108649225,22.516675161925694,20.265007645733125,0.0
1.475,7.758239364663843,10.372077301952146,37.339478287027724,6.638439755515803,1902.1709691610527,51.0306904761905,51.0306904761905,1764.0722653570754,35.156840249999995,142.3283235387986,0.0,1586.587101568277,22.589004817917807,20.330104336126027,0.0
1.48,7.810182731670547,10.405269500729725,37.45897020262701,6.634622176324726,1908.2582007810338,51.0306904761905,51.0306904761905,1764.0722653570754,35.156840249999995,143.24072496546586,0.0,1585.6747001416095,22.66129301210268,20.39516371089241,0.0
1.485,7.8622920119514,10.438442611611348,37.57839340180085,6.630794605727259,1914.3419318060533,51.0306904761905,51.0306904761905,1764.0722653570754,35.156840249999995,144.1555143382604,0.0,1584.759910768815,22.733539635388958,20.460185671850063,0.0
1.49,7.914567109942028,10.471596584639984,37.69774770470394,6.626957070545922,1920.4221530743184,51.0306904761905,51.0306904761905,1764.0722653570754,35.156840249999995,145.07268524660012,0.0,1583.8427398604754,22.805744578976874,20.52517012107919,0.0
1.495,7.967007929828609,10.504731369992713,37.81703293197377,6.623109597648838,1926.4988554486324,51.0306904761905,51.0306904761905,1764.0722653570754,35.156840249999995,145.99223126900299,0.0,1582.9231938380724,22.877907734358736,20.590116960922863,0.0
1.5,8.019614375548544,10.537846917980957,37.93624890473145,6.6192522139493635,1932.5720298164365,51.0306904761905,51.0306904761905,1764.0722653570754,35.156840249999995,146.9141459731774,0.0,1582.001279133898,22.95002899331943,20.65502609398749,0.0
1.5050000000000001,8.072386350791122,10.570943179050705,38.05539544458254,6.615384946405702,1938.6416670898495,51.0306904761905,51.0306904761905,1764.0722653570754,35.156840249999995,147.83842291611273,0.0,1581.0770021909627,23.022108247936913,20.719897423143223,0.0
1.51,8.125323758998206,10.604020103782734,38.174472373617846,6.611507822020526,1944.7077582057102,51.0306904761905,51.0306904761905,1764.0722653570754,35.156840249999995,148.76505564416973,0.0,1580.1503694629057,23.094145390582685,20.78473085152442,0.0
